phase,station,window,lead,n,brier_raw,brier_pav,delta_pav_minus_raw,brier_5b,n_5b
3j,bellever_dartmoor,4,24,120,0.12425377352083335,0.11972669653874188,-0.004527076982091469,0.1298957073805833,123
3j,bellever_dartmoor,4,48,120,0.13348268489583331,0.12110170940386782,-0.012380975491965499,0.1285754195159387,123
3j,bellever_dartmoor,4,72,120,0.16746863443749999,0.15509229126318022,-0.012376343174319765,0.1517678862293708,123
3j,bellever_dartmoor,6,24,120,0.12508029139583332,0.11351029832823077,-0.01156999306760255,0.12329894280883939,123
3j,bellever_dartmoor,6,48,120,0.12471260550000002,0.11438418742022076,-0.010328418079779259,0.13577936693645054,123
3j,bellever_dartmoor,6,72,120,0.14260007364583333,0.14311794618943185,0.0005178725435985299,0.13981451500985473,123
3j,bovey_tracey,3,24,116,0.058696698383620696,0.05970418981794023,0.001007491434319531,0.06292773880675759,119
3j,bovey_tracey,3,48,116,0.06777457493534483,0.06970717818951641,0.0019326032541715776,0.06282156807077002,119
3j,bovey_tracey,3,72,116,0.07655068196120689,0.08522682384593647,0.00867614188472958,0.0756453930674308,119
3j,bovey_tracey,4,24,116,0.09127485204741378,0.09890228009851589,0.0076274280511021,0.08328076066278822,119
3j,bovey_tracey,4,48,116,0.1072791787284483,0.10268585591002136,-0.004593322818426948,0.09463487604205272,119
3j,bovey_tracey,4,72,116,0.11376882676724137,0.10782689300871355,-0.00594193375852782,0.10659874997233652,119
3j,bovey_tracey,6,24,116,0.11380071290948277,0.09918162851064138,-0.014619084398841381,0.09930323456043455,119
3j,bovey_tracey,6,48,116,0.12933568060344827,0.11611123736220193,-0.013224443241246345,0.12261417862937084,119
3j,bovey_tracey,6,72,116,0.15629691254310343,0.13724769035566092,-0.01904922218744251,0.13844858428181914,119
3j,dartmoor_nr_hexworthy,3,24,120,0.11940066762500003,0.1267077421466028,0.007307074521602772,0.12728327786484334,124
3j,dartmoor_nr_hexworthy,3,48,120,0.13791139485416667,0.1513264781860714,0.01341508333190472,0.14028973454907792,124
3j,dartmoor_nr_hexworthy,3,72,120,0.14673040458333333,0.16064990291718334,0.013919498333850006,0.14315092163625037,124
3j,dartmoor_nr_hexworthy,4,24,120,0.12425413941666667,0.13121645158076228,0.00696231216409561,0.14475691004685365,124
3j,dartmoor_nr_hexworthy,4,48,120,0.14849010056249998,0.16130552842379633,0.012815427861296358,0.16943024031515347,124
3j,dartmoor_nr_hexworthy,4,72,120,0.1621565441666667,0.18331106296938682,0.021154518802720124,0.17455245640160216,124
3j,dartmoor_nr_hexworthy,6,24,120,0.16578312697916667,0.2059900674136595,0.04020694043449283,0.14824688877987333,124
3j,dartmoor_nr_hexworthy,6,48,120,0.17079760679166667,0.19369600578555773,0.022898398993891067,0.16383931551290237,124
3j,dartmoor_nr_hexworthy,6,72,120,0.19281935622916668,0.2302418879199321,0.037422531690765426,0.18662628889930416,124
3n,bellever_dartmoor,3,24,120,0.10822791293749999,0.10544146229264435,-0.002786450644855637,0.11401018041206307,123
3n,bellever_dartmoor,3,48,120,0.11650287972916666,0.11398675821542649,-0.0025161215137401716,0.10789108177071674,123
3n,bellever_dartmoor,3,72,120,0.1330872289375,0.1279914749403737,-0.005095753997126307,0.11046251904001636,123
3n,bellever_dartmoor,4,24,120,0.12471510060416667,0.12040300528343378,-0.004312095320732887,0.1298957073805833,123
3n,bellever_dartmoor,4,48,120,0.1328945494375,0.12319528253147558,-0.009699266906024434,0.1285754195159387,123
3n,bellever_dartmoor,4,72,120,0.1683004826041667,0.15457478505065309,-0.013725697553513605,0.1517678862293708,123
3n,bellever_dartmoor,6,24,120,0.12147294972916667,0.11030274522789098,-0.01117020450127569,0.12329894280883939,123
3n,bellever_dartmoor,6,48,120,0.12230153320833334,0.1169847284696585,-0.005316804738674838,0.13577936693645054,123
3n,bellever_dartmoor,6,72,120,0.14024928725000002,0.14279802655359788,0.0025487393035978634,0.13981451500985473,123
3n,bovey_tracey,3,24,116,0.058729486314655174,0.057794986415232966,-0.0009344998994222087,0.06292773880675759,119
3n,bovey_tracey,3,48,116,0.06766951881465517,0.06939765690322312,0.0017281380885679487,0.06282156807077002,119
3n,bovey_tracey,3,72,116,0.07561746625000001,0.0856779802486639,0.01006051399866388,0.0756453930674308,119
3n,bovey_tracey,4,24,116,0.09266414765086209,0.10031631478083208,0.0076521671299699945,0.08328076066278822,119
3n,bovey_tracey,4,48,116,0.10831867564655172,0.10179093552573461,-0.00652774012081711,0.09463487604205272,119
3n,bovey_tracey,4,72,116,0.11455538568965518,0.10741522292974622,-0.007140162759908961,0.10659874997233652,119
3n,bovey_tracey,6,24,116,0.11074439629310345,0.09848208031421268,-0.01226231597889077,0.09930323456043455,119
3n,bovey_tracey,6,48,116,0.1250734565086207,0.11522477348487359,-0.009848683023747112,0.12261417862937084,119
3n,bovey_tracey,6,72,116,0.15329319648706896,0.1377013861647915,-0.015591810322277466,0.13844858428181914,119
3n,dartmoor_nr_hexworthy,3,24,120,0.12040599520833334,0.12756224272817984,0.007156247519846504,0.12728327786484334,124
3n,dartmoor_nr_hexworthy,3,48,120,0.13866392837500002,0.14905851797512756,0.01039458960012754,0.14028973454907792,124
3n,dartmoor_nr_hexworthy,3,72,120,0.14705555625000002,0.16091885780015713,0.013863301550157109,0.14315092163625037,124
3n,dartmoor_nr_hexworthy,4,24,120,0.12480350131250001,0.13367718429162453,0.008873682979124525,0.14475691004685365,124
3n,dartmoor_nr_hexworthy,4,48,120,0.14870292656249998,0.1622369922888236,0.013534065726323624,0.16943024031515347,124
3n,dartmoor_nr_hexworthy,4,72,120,0.1622781828333333,0.18477968940633768,0.02250150657300437,0.17455245640160216,124
3n,dartmoor_nr_hexworthy,6,24,120,0.1636988968541667,0.20480171394895083,0.04110281709478414,0.14824688877987333,124
3n,dartmoor_nr_hexworthy,6,48,120,0.1694334685625,0.19265264528289242,0.02321917672039242,0.16383931551290237,124
3n,dartmoor_nr_hexworthy,6,72,120,0.19157726447916665,0.23224640714208494,0.040669142662918295,0.18662628889930416,124
