phase,station,window,lead,n_val,obs_rate,n_blocks,min_block,median_block,val_brier_raw,val_brier_pav,val_delta,brier_raw,brier_pav,delta_pav_minus_raw,pav_helps,pav_hurts
3g,bellever_dartmoor,6,48,124,0.5,8,5,11,0.1145950560483871,0.09770077592658238,-0.016894280121804717,0.1109646659166666,0.1063831359740812,-0.0045815299425854,True,False
3j,bellever_dartmoor,6,48,124,0.5,8,4,14,0.12291039491935486,0.10149526575048397,-0.021415129168870894,0.1247126055,0.1143841874202207,-0.0103284180797792,True,False
3n,bellever_dartmoor,6,48,124,0.5,9,3,11,0.1212497666935484,0.09934065512813141,-0.021909111565416986,0.1223015332083333,0.1169847284696585,-0.0053168047386748,True,False
3g,bovey_tracey,3,48,120,0.85,5,6,13,0.08170717358333332,0.058084045584045584,-0.023623127999287737,0.0730242874999999,0.0693496258266039,-0.003674661673396,True,False
3j,bovey_tracey,3,48,120,0.85,5,6,11,0.07487037533333334,0.06064393939393939,-0.014226435939393947,0.0677745749353448,0.0697071781895164,0.0019326032541715,False,True
3n,bovey_tracey,3,48,120,0.85,6,5,10,0.07560805541666668,0.06081699346405229,-0.014791061952614391,0.0676695188146551,0.0693976569032231,0.0017281380885679,False,True
3g,bovey_tracey,4,48,120,0.775,6,5,8,0.09118386441666666,0.06725694444444445,-0.02392691997222221,0.1166783162931034,0.1037290663762177,-0.0129492499168856,True,False
3j,bovey_tracey,4,48,120,0.775,6,3,8,0.08818668166666667,0.06811038011695908,-0.02007630154970759,0.1072791787284483,0.1026858559100213,-0.0045933228184269,True,False
3n,bovey_tracey,4,48,120,0.775,6,6,8,0.08962348725,0.06852678571428572,-0.021096701535714274,0.1083186756465517,0.1017909355257346,-0.0065277401208171,True,False
3g,bovey_tracey,6,48,120,0.65,8,6,12,0.10296728783333334,0.08623611111111114,-0.0167311767222222,0.1123923847413793,0.1151425538699303,0.002750169128551,False,True
3j,bovey_tracey,6,48,120,0.65,8,5,13,0.10763024933333334,0.08699249528533416,-0.020637754047999182,0.1293356806034482,0.1161112373622019,-0.0132244432412463,True,False
3n,bovey_tracey,6,48,120,0.65,7,6,14,0.1046113485,0.08636507936507937,-0.01824626913492064,0.1250734565086207,0.1152247734848735,-0.0098486830237471,True,False
3g,dartmoor_nr_hexworthy,3,48,125,0.696,8,3,10,0.11487535976,0.09243333333333334,-0.022442026426666664,0.1478366253333333,0.1541849481264517,0.0063483227931184,False,True
3j,dartmoor_nr_hexworthy,3,48,125,0.696,6,4,10,0.11396775208000001,0.08876363636363636,-0.025204115716363648,0.1379113948541666,0.1513264781860714,0.0134150833319047,False,True
3n,dartmoor_nr_hexworthy,3,48,125,0.696,6,6,16,0.11437847943999997,0.08849590643274854,-0.025882573007251428,0.138663928375,0.1490585179751275,0.0103945896001275,False,True
3g,dartmoor_nr_hexworthy,4,48,125,0.608,8,4,12,0.12446675328000001,0.09773095238095239,-0.026735800899047618,0.15089898625,0.162246932184556,0.011347945934556,False,True
3j,dartmoor_nr_hexworthy,4,48,125,0.608,8,4,12,0.12277739287999999,0.09725304659498213,-0.02552434628501786,0.1484901005624999,0.1613055284237963,0.0128154278612963,False,True
3n,dartmoor_nr_hexworthy,4,48,125,0.608,9,3,12,0.12278972920000002,0.10002764976958528,-0.022762079430414736,0.1487029265624999,0.1622369922888236,0.0135340657263236,False,True
3g,dartmoor_nr_hexworthy,6,48,125,0.456,10,4,9,0.14420162303999995,0.10985543345543346,-0.03434618958456649,0.1630367965,0.192398994958892,0.029362198458892,False,True
3j,dartmoor_nr_hexworthy,6,48,125,0.456,11,4,10,0.12646804328,0.11018964803312632,-0.016278395246873675,0.1707976067916666,0.1936960057855577,0.022898398993891,False,True
3n,dartmoor_nr_hexworthy,6,48,125,0.456,11,4,9,0.12634551856,0.11005714285714287,-0.01628837570285714,0.1694334685625,0.1926526452828924,0.0232191767203924,False,True
3g,bellever_dartmoor,3,72,123,0.7235772357723578,7,3,8,0.14935880642276425,0.10678861788617884,-0.04257018853658541,0.1390603080833333,0.1317701744306764,-0.0072901336526569,True,False
3j,bellever_dartmoor,3,72,123,0.7235772357723578,7,3,6,0.13854757373983737,0.10220736078328524,-0.036340212956552126,0.1320985658124999,0.1305882119818311,-0.0015103538306688,True,False
3n,bellever_dartmoor,3,72,123,0.7235772357723578,8,3,6,0.13992350325203254,0.10466511807975222,-0.03525838517228032,0.1330872289375,0.1279914749403737,-0.0050957539971263,True,False
3g,bellever_dartmoor,4,72,123,0.6341463414634146,6,4,11,0.12331128723577237,0.09150361833288663,-0.031807668902885736,0.1640033521666666,0.1667133462298564,0.0027099940631897,False,True
